Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,20.059999,20.370001,19.985001,20.370001,20.370001,2962662
2017-10-25,20.5,20.555,19.905001,20.055,20.055,5756417
2017-10-26,20.014999,20.315001,19.959999,20.235001,20.235001,2995521
2017-10-27,20.4,20.51,20.190001,20.25,20.25,2635220
2017-10-30,20.280001,20.469999,20.145,20.215,20.215,2090823
2017-10-31,20.275,20.395,20.205,20.365,20.365,1639908
2017-11-01,20.5,20.860001,20.469999,20.805,20.805,1958008
2017-11-02,20.85,20.895,20.594999,20.684999,20.684999,1891644
2017-11-03,20.65,20.860001,20.545,20.610001,20.610001,2503875
2017-11-06,20.575001,20.895,20.535,20.77,20.77,1896118
2017-11-07,20.815001,20.950001,20.540001,20.605,20.605,2632722
2017-11-08,20.705,20.790001,20.049999,20.129999,20.129999,3644519
2017-11-09,20.129999,20.135,19.375,19.684999,19.684999,6435407
2017-11-10,19.285,19.370001,18.860001,18.915001,18.915001,7346502
2017-11-13,18.9,18.945,18.594999,18.834999,18.834999,3396962
2017-11-14,18.975,19.155001,18.895,18.969999,18.969999,3463163
2017-11-15,18.885,18.934999,18.705,18.905001,18.905001,2819252
2017-11-16,19.049999,19.235001,18.995001,19.145,19.145,3306584
2017-11-17,19.18,19.215,18.57,18.610001,18.610001,5101916
2017-11-20,18.549999,18.764999,18.325001,18.565001,18.565001,4061872
2017-11-21,18.610001,18.73,18.42,18.530001,18.530001,3282023
2017-11-22,18.51,18.555,18.26,18.26,18.26,2958224
2017-11-24,18.235001,18.379999,18.110001,18.120001,18.120001,2536755
2017-11-27,18.120001,18.315001,17.940001,17.995001,17.995001,2654442
2017-11-28,18.065001,18.125,17.905001,18.004999,18.004999,2319953
2017-11-29,18.1,18.17,17.295,17.295,17.295,8502144
2017-11-30,17.290001,17.905001,17.280001,17.375,17.375,12214982
2017-12-01,17.32,17.379999,16.805,16.9,16.9,6711341
2017-12-04,17.094999,17.264999,17.01,17.190001,17.190001,4655251
2017-12-05,17.219999,17.379999,16.975,17.209999,17.209999,3560702
2017-12-06,17.205,17.219999,16.905001,17.025,17.025,3745721
2017-12-07,17.129999,17.205,17.014999,17.135,17.135,2470737
2017-12-08,16.99,17.334999,16.895,16.91,16.91,4127407
2017-12-11,16.924999,17.184999,16.879999,17.025,17.025,2648371
2017-12-12,17.035,17.129999,16.855,17.035,17.035,2431256
2017-12-13,17.059999,17.18,16.915001,16.985001,16.985001,2922355
2017-12-14,17.219999,17.360001,17.184999,17.275,17.275,4862082
2017-12-15,17.25,17.254999,16.98,17.195,17.195,5594653
2017-12-18,17.309999,17.48,17.219999,17.26,17.26,3590343
2017-12-19,17.225,17.450001,17.094999,17.145,17.145,2357517
2017-12-20,17.15,17.225,16.965,17.055,17.055,2190613
2017-12-21,17.040001,17.285,16.93,17.184999,17.184999,2118130
2017-12-22,17.205,17.225,17.049999,17.094999,17.094999,1483936
2017-12-27,17.07,17.215,17.059999,17.15,17.15,1569412
2017-12-28,17.145,17.17,16.959999,17.004999,17.004999,1763907
2017-12-29,17.004999,17.059999,16.92,16.955,16.955,1330464
2018-01-02,16.959999,16.995001,16.455,16.915001,16.915001,2641718
2018-01-03,17.0,17.275,16.98,17.115,17.115,2989091
2018-01-04,17.25,17.440001,17.25,17.35,17.35,3119565
2018-01-05,17.5,18.135,17.5,18.105,18.105,6683239
2018-01-08,18.200001,18.48,18.02,18.035,18.035,4239846
2018-01-09,18.08,18.355,17.959999,18.165001,18.165001,4248877
2018-01-10,18.16,18.17,17.700001,17.9,17.9,3855195
2018-01-11,17.950001,17.955,17.655001,17.93,17.93,3797848
2018-01-12,18.0,18.059999,17.84,18.02,18.02,2609434
2018-01-16,18.0,18.24,17.889999,18.17,18.17,3384476
2018-01-17,18.219999,18.334999,18.16,18.275,18.275,3263663
2018-01-18,18.275,18.379999,18.16,18.315001,18.315001,2284542
2018-01-19,18.295,18.530001,18.27,18.469999,18.469999,3173836
2018-01-22,18.469999,19.129999,18.395,19.01,19.01,3990732
2018-01-23,19.139999,19.190001,18.719999,18.745001,18.745001,3248803
2018-01-24,18.795,18.9,18.52,18.52,18.52,2654608
2018-01-25,18.41,18.674999,18.275,18.450001,18.450001,2172973
2018-01-26,18.43,18.465,18.235001,18.379999,18.379999,2496952
2018-01-29,18.455,18.495001,18.33,18.365,18.365,1689184
2018-01-30,18.25,18.375,18.155001,18.245001,18.245001,2658905
2018-01-31,18.24,18.389999,18.059999,18.09,18.09,3138079
2018-02-01,18.15,18.764999,18.110001,18.65,18.65,4494588
2018-02-02,18.610001,18.815001,18.225,18.65,18.65,4002180
2018-02-05,18.41,18.525,18.105,18.385,18.385,4610354
2018-02-06,17.51,18.375,17.299999,18.055,18.055,6312380
2018-02-07,18.290001,18.635,18.075001,18.535,18.535,4304015
2018-02-08,18.43,18.535,17.855,17.98,17.98,3563195
